time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-01-06T05:01:07.184Z,65.5124,-153.3501,0,2.7,ml,,,,1,ak,ak019a07hld,2019-01-06T05:03:58.325Z,"70km WNW of Tanana, Alaska",earthquake,,1693.9,,,automatic,ak,ak
2019-01-06T04:48:09.100Z,28.5436,51.5964,10,4.7,mb,,99,5.459,0.85,us,us2000j0pj,2019-01-06T05:08:03.040Z,"87km ESE of Bandar Bushehr, Iran",earthquake,7.6,1.4,0.064,75,reviewed,us,us
2019-01-06T03:45:34.053Z,65.3868,-153.3548,11.5,5,ml,,,,0.6,ak,ak0199za3yf,2019-01-07T06:36:11.016Z,"68km WNW of Tanana, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2019-01-06T01:26:43.100Z,51.3254,-178.2201,44.16,4,mb,,230,0.849,0.98,us,us2000j0nn,2019-01-06T05:02:17.176Z,"62km S of Tanaga Volcano, Alaska",earthquake,12.2,5.7,0.075,48,reviewed,us,us
2019-01-06T00:46:15.450Z,18.6663,-67.378,14,2.73,md,4,325,0.3327,0.32,pr,pr2019006002,2019-01-06T05:12:42.417Z,"35km NW of Aguadilla, Puerto Rico",earthquake,2.59,2.15,0.32,4,reviewed,pr,pr
2019-01-06T00:15:04.930Z,19.031,-65.1246,34,3.21,md,3,342,1.1465,0.18,pr,pr2019006001,2019-01-06T05:12:25.169Z,"78km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.25,16.2,0.15,3,reviewed,pr,pr
2019-01-06T00:09:45.260Z,19.078,-65.1658,34,2.98,md,4,333,1.1586,0.24,pr,pr2019006000,2019-01-06T05:12:15.561Z,"85km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.14,19.48,0.19,4,reviewed,pr,pr
2019-01-05T22:54:13.770Z,25.8411,144.5944,8.32,5.8,mww,,21,2.495,0.81,us,us2000j0n0,2019-01-06T16:09:41.040Z,"274km ESE of Chichi-shima, Japan",earthquake,7.8,4.2,0.066,22,reviewed,us,us
2019-01-05T21:26:10.590Z,-25.3662,-179.4108,431.1,4.9,mb,,82,4.082,1.43,us,us2000j0mc,2019-01-05T21:41:33.040Z,"South of the Fiji Islands",earthquake,11.4,8.7,0.104,29,reviewed,us,us
2019-01-05T20:42:55.450Z,17.9085,122.7652,51.89,4.8,mb,,125,5.133,0.79,us,us2000j0m1,2019-01-05T22:49:06.040Z,"85km SE of Casambalangan, Philippines",earthquake,8.2,7.6,0.062,79,reviewed,us,us
2019-01-05T20:42:48.450Z,19.2735,-64.3613,44,3.42,md,4,348,1.8689,0.26,pr,pr2019005016,2019-01-05T23:43:19.770Z,"98km NNE of Road Town, British Virgin Islands",earthquake,6.3,21.47,0.08,2,reviewed,pr,pr
2019-01-05T19:25:38.700Z,-8.1428,-71.5735,575.27,6.8,mww,,18,1.193,1.14,us,us2000j0ja,2019-01-07T00:23:20.093Z,"89km W of Tarauaca, Brazil",earthquake,7.8,3.5,0.049,40,reviewed,us,us
2019-01-05T19:19:08.890Z,34.6381,46.2522,10,4.1,mb,,69,0.647,0.99,us,us2000j0j8,2019-01-06T14:04:29.751Z,"29km SW of Javanrud, Iran",earthquake,5.9,1.9,0.117,20,reviewed,us,us
2019-01-05T19:03:24.230Z,51.1338,-178.226,35,4.1,mb,,200,0.71,0.68,us,us2000j0mm,2019-01-06T03:06:28.230Z,"63km ESE of Amatignak Island, Alaska",earthquake,6.4,2,0.12,19,reviewed,us,us
2019-01-05T19:00:30.130Z,51.2308,-178.2153,27.19,2.9,ml,,261,0.613,0.61,us,us2000j0ml,2019-01-05T21:54:12.040Z,"62km E of Amatignak Island, Alaska",earthquake,10.2,20.5,,,reviewed,us,ak
2019-01-05T18:58:59.156Z,51.3481,-178.1407,46.7,3.6,ml,,,,0.46,ak,ak0198kr3he,2019-01-06T03:01:27.898Z,"59km S of Tanaga Volcano, Alaska",earthquake,,3,,,reviewed,ak,ak
2019-01-05T18:55:42.410Z,51.1842,-178.1262,25.7,3.2,ml,,,,0.42,ak,ak0198kqf4d,2019-01-05T21:39:00.147Z,"69km E of Amatignak Island, Alaska",earthquake,,2.9,,,reviewed,ak,ak
2019-01-05T18:55:07.190Z,-18.0202,-172.1135,10,5.1,mb,,68,2.324,1.26,us,us2000j0j1,2019-01-05T19:24:59.040Z,"209km ENE of Neiafu, Tonga",earthquake,4.8,1.8,0.091,39,reviewed,us,us
2019-01-05T18:52:57.250Z,14.3699,-93.1583,35,4.7,mwr,,153,1.426,1.07,us,us2000j0ix,2019-01-05T19:09:48.358Z,"88km WSW of Puerto Madero, Mexico",earthquake,7.4,2,0.089,12,reviewed,us,us
2019-01-05T18:50:14.910Z,51.2357,-178.1187,45.6,3.4,ml,,,,0.27,ak,ak0198kpamy,2019-01-06T02:52:56.164Z,"69km E of Amatignak Island, Alaska",earthquake,,3.5,,,reviewed,ak,ak
2019-01-05T18:47:10.360Z,51.41,-178.3496,19.1,6.1,mww,,57,0.867,0.97,us,us2000j0iw,2019-01-06T15:55:58.040Z,"54km SSW of Tanaga Volcano, Alaska",earthquake,9.3,4.6,0.059,28,reviewed,us,us
2019-01-05T18:25:58.247Z,61.195,-149.9248,39.5,3.3,ml,,,,0.72,ak,ak0198kk0p9,2019-01-06T18:44:29.957Z,"2km SSW of Anchorage, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-01-05T18:13:46.320Z,3.0959,31.3992,17.06,4.7,mb,,53,3.732,0.75,us,us2000j0ip,2019-01-06T18:31:22.510Z,"44km SSE of Yumbe, Uganda",earthquake,4.7,4.5,0.073,57,reviewed,us,us
2019-01-05T17:30:22.190Z,32.5768318,-118.1103363,26.9,3.36,ml,52,225,0.5448,0.35,ci,ci38417624,2019-01-06T07:25:24.026Z,"35km SE of San Clemente Is. (SE tip), CA",earthquake,0.93,0.64,0.196,25,reviewed,ci,ci
2019-01-05T17:28:48.640Z,18.9051,-65.1921,24,2.76,md,7,330,1.0067,0.24,pr,pr2019005014,2019-01-05T22:44:35.726Z,"67km N of Culebra, Puerto Rico",earthquake,2.15,20.06,0.46,6,reviewed,pr,pr
2019-01-05T17:08:31.400Z,14.8796,-91.4696,148.2,4.5,mb,,81,0.414,0.84,us,us2000j0ig,2019-01-06T01:11:03.433Z,"2km SSE of San Andres Xecul, Guatemala",earthquake,7.4,3,0.046,141,reviewed,us,us
2019-01-05T16:45:47.760Z,18.8931,-65.1101,21,2.86,md,15,326,1.0535,0.3,pr,pr2019005012,2019-01-05T17:20:30.111Z,"63km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,1.71,25.14,0.4,14,reviewed,pr,pr
2019-01-05T12:44:28.775Z,62.833,-149.5559,51.6,2.8,ml,,,,0.84,ak,ak0198h3fdf,2019-01-05T13:10:26.040Z,"62km NNE of Talkeetna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-01-05T12:38:57.998Z,57.2113,-142.8725,10,2.6,ml,,,,1.3,ak,ak0198h2dc0,2019-01-05T21:16:59.466Z,"Gulf of Alaska",earthquake,,0,,,reviewed,ak,ak
2019-01-05T11:19:27.100Z,12.8856,-88.6629,71.19,4.5,mb,,137,1.584,0.63,us,us2000j0hj,2019-01-07T02:21:13.986Z,"45km SSW of Puerto El Triunfo, El Salvador",earthquake,7.8,9,0.048,127,reviewed,us,us
2019-01-05T10:54:58.250Z,-0.8358,127.6335,18.94,5.4,mww,,98,1.619,0.9,us,us2000j0hh,2019-01-06T10:57:20.016Z,"57km N of Laiwui, Indonesia",earthquake,7,4.5,0.073,18,reviewed,us,us
2019-01-05T09:37:00.630Z,26.3351,-110.5708,10,4.4,mb,,151,2.695,1.46,us,us2000j0h7,2019-01-05T13:45:38.702Z,"85km ENE of Loreto, Mexico",earthquake,6.5,1.8,0.065,67,reviewed,us,us
2019-01-05T08:56:40.520Z,56.4147,-155.8841,34.8,3.1,ml,,,,0.54,ak,ak0198esaip,2019-01-05T09:07:49.040Z,"61km NNW of Chirikof Island, Alaska",earthquake,,230.4,,,automatic,ak,ak
2019-01-05T08:30:09.310Z,-18.6435,-69.3595,131.04,4.3,mb,,68,0.918,0.87,us,us2000j0gr,2019-01-06T09:54:06.040Z,"53km SSE of Putre, Chile",earthquake,7.3,7.5,0.119,20,reviewed,us,us
2019-01-05T07:20:14.650Z,19.2638333,-155.3975,30.7,2.73,ml,29,98,0.02619,0.1,hv,hv70757446,2019-01-06T22:33:15.320Z,"10km ENE of Pahala, Hawaii",earthquake,1.08,0.78,0.179,39,reviewed,hv,hv
2019-01-05T06:32:17.700Z,31.2274,130.7348,112.3,4.6,mb,,83,1.895,0.6,us,us2000j0gb,2019-01-05T07:00:43.040Z,"8km E of Ibusuki, Japan",earthquake,6.3,6.6,0.059,85,reviewed,us,us
2019-01-05T06:12:35.030Z,-24.1964,-67.4665,195.55,4,mb,,73,1.4,0.98,us,us2000j0g9,2019-01-05T06:42:54.040Z,"116km W of San Antonio de los Cobres, Argentina",earthquake,8,12.6,0.196,7,reviewed,us,us
2019-01-05T04:54:59.600Z,19.346,-68.0415,75,2.91,md,9,235,0.8988,0.45,pr,pr2019005004,2019-01-05T22:57:16.040Z,"71km N of Punta Cana, Dominican Republic",earthquake,4.99,9.53,0.28,8,reviewed,pr,pr
2019-01-05T04:20:15.040Z,40.425,28.3462,10,3.7,ml,,103,1.704,0.88,us,us2000j0fw,2019-01-06T08:02:57.040Z,"23km NNW of Karacabey, Turkey",earthquake,3.1,2,0.076,23,reviewed,us,us
2019-01-05T03:24:04.780Z,18.4656,-67.9348,105,2.56,md,6,171,0.4628,0.48,pr,pr2019005003,2019-01-05T22:54:52.040Z,"61km E of Punta Cana, Dominican Republic",earthquake,7.77,3.68,0.37,6,reviewed,pr,pr
2019-01-05T03:17:15.120Z,18.9588,-68.2476,71,3.15,md,6,238,0.4646,0.45,pr,pr2019005002,2019-01-05T22:41:54.040Z,"64km NNE of Punta Cana, Dominican Republic",earthquake,5.69,5.15,0.29,5,reviewed,pr,pr
2019-01-05T03:11:52.760Z,-0.8482,127.5302,10,4.7,mb,,113,1.617,1.39,us,us2000j0ff,2019-01-05T03:28:52.040Z,"57km NNW of Laiwui, Indonesia",earthquake,6.5,1.9,0.104,28,reviewed,us,us
2019-01-05T01:56:58.690Z,19.5018,-67.9885,37,2.95,md,3,253,1.3562,0.42,pr,pr2019005001,2019-01-05T22:37:50.040Z,"78km N of Punta Cana, Dominican Republic",earthquake,4.03,25.76,0.36,4,reviewed,pr,pr
2019-01-05T01:55:38.140Z,-0.857,127.6686,10,5.1,mww,,84,1.645,1.22,us,us2000j0f5,2019-01-05T02:14:40.040Z,"54km N of Laiwui, Indonesia",earthquake,6.6,1.9,0.073,18,reviewed,us,us
2019-01-05T01:48:46.905Z,61.3722,-150.0951,19.8,2.6,ml,,,,0.93,ak,ak0198akk1u,2019-01-05T22:31:02.040Z,"18km SSW of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-01-05T01:12:37.270Z,18.836,-69.1488,103.71,2.7,ml,,348,0.795,0.28,us,us2000j0ga,2019-01-05T22:26:30.040Z,"5km SW of Pedro Sanchez, Dominican Republic",earthquake,26.5,18.3,0.115,10,reviewed,us,us
